27-01-2015;2A8CA57BDC9849D5;Virement en votre faveur;15,00;EUR;27-01-2015;BE01 2345 6789 7777;DAVID KARP;+++012/3456/77777+++;
27-01-2015;4E4112CD342F45B6;Virement en votre faveur;30,00;EUR;27-01-2015;BE01 2345 6789 8888;JACK DORSEY;+++012/3456/88888+++;
28-01-2015;57E3FD30B0454117;Virement en votre faveur;15,00;EUR;28-01-2015;BE01 2345 6789 1122;LARRY PAGE;+++012/3456/11222+++;
28-01-2015;14732D220BC74108;Virement en votre faveur;15,00;EUR;28-01-2015;BE01 2345 6789 3344;STEVE BALLMER;+++012/3456/33444+++;
28-01-2015;5915FBD7EFB34549;Virement en votre faveur;15,00;EUR;28-01-2015;BE01 2345 6789 5566;LARRY ELLISON;+++012/3456/55666+++;
02-02-2015;2A8CA57BDC984910;Virement en votre faveur;15,00;EUR;02-02-2015;BE01 2345 6789 7788;JEFF BEZOS;+++012/3456/77888+++;
02-02-2015;4E4112CD342F4511;Virement en votre faveur;30,00;EUR;02-02-2015;BE01 2345 6789 9900;MICHAEL DELL;+++012/3456/99000+++;
02-02-2015;57E3FD30B0454112;Virement en votre faveur;15,00;EUR;02-02-2015;BE01 2345 6789 2233;TIM O'REILLY;+++012/3456/22333+++;
02-02-2015;14732D220BC74113;Virement en votre faveur;15,00;EUR;02-02-2015;BE01 2345 6789 4455;PIERRE OMIDYAR;+++012/3456/44555+++;
02-02-2015;5915FBD7EFB34514;Virement en votre faveur;15,00;EUR;02-02-2015;BE01 2345 6789 6677;ALFRED LIN;+++012/3456/66777+++;
21-02-2015;57E3FD30B0454115;Virement en votre faveur;15,00;EUR;21-02-2015;BE01 2345 6789 1111;TIM ARMSTRONG;+++012/3456/11111+++;
21-02-2015;14732D220BC74116;Virement en votre faveur;15,00;EUR;21-02-2015;BE01 2345 6789 0123;PETE CASHMORE;+++012/3456/22222+++;
22-02-2015;5915FBD7EFB34517;Virement en votre faveur;15,00;EUR;22-02-2015;BE01 2345 6789 9999;TIM ARMSTRONG'S WIFE;+++012/3456/11111+++;
22-02-2015;2A8CA57BDC984918;Virement en votre faveur;15,00;EUR;22-02-2015;BE01 2345 6789 2222;TIM COOK;+++012/3456/33333+++;
23-02-2015;4E4112CD342F4519;Virement en votre faveur;30,00;EUR;23-02-2015;BE01 2345 6789 3333;JOHN DOERR;;February
24-02-2015;57E3FD30B0454120;Virement en votre faveur;15,00;EUR;24-02-2015;BE01 2345 6789 4444;VIRGINIA ROMETTY;+++012/3456/44444+++;
25-02-2015;14732D220BC74121;Virement en votre faveur;15,00;EUR;25-02-2015;BE01 2345 6789 5555;DENNIS CROWLEY;+++012/3456/55555+++;
26-02-2015;5915FBD7EFB34522;Virement en votre faveur;15,00;EUR;26-02-2015;BE01 2345 6789 6666;KEVIN RYAN;+++012/3456/66666+++;
27-02-2015;2A8CA57BDC984923;Virement en votre faveur;15,00;EUR;27-02-2015;BE01 2345 6789 7777;DAVID KARP;+++012/3456/77777+++;
27-02-2015;4E4112CD342F4524;Virement en votre faveur;30,00;EUR;27-02-2015;BE01 2345 6789 8888;JACK DORSEY;+++012/3456/88888+++;
28-02-2015;57E3FD30B0454125;Virement en votre faveur;15,00;EUR;28-02-2015;BE01 2345 6789 1122;LARRY PAGE;+++012/3456/11222+++;
28-02-2015;14732D220BC74126;Virement en votre faveur;15,00;EUR;28-02-2015;BE01 2345 6789 3344;STEVE BALLMER;+++012/3456/33444+++;
28-02-2015;5915FBD7EFB34527;Virement en votre faveur;15,00;EUR;28-02-2015;BE01 2345 6789 5566;LARRY ELLISON;+++012/3456/55666+++;
02-03-2015;2A8CA57BDC984928;Virement en votre faveur;15,00;EUR;02-03-2015;BE01 2345 6789 7788;JEFF BEZOS;+++012/3456/77888+++;
02-03-2015;4E4112CD342F4529;Virement en votre faveur;30,00;EUR;02-03-2015;BE01 2345 6789 9900;MICHAEL DELL;+++012/3456/99000+++;
02-03-2015;57E3FD30B0454130;Virement en votre faveur;15,00;EUR;02-03-2015;BE01 2345 6789 2233;TIM O'REILLY;+++012/3456/22333+++;
02-03-2015;14732D220BC74131;Virement en votre faveur;15,00;EUR;02-03-2015;BE01 2345 6789 4455;PIERRE OMIDYAR;+++012/3456/44555+++;
02-03-2015;5915FBD7EFB34532;Virement en votre faveur;15,00;EUR;02-03-2015;BE01 2345 6789 6677;ALFRED LIN;+++012/3456/66777+++;
02-03-2015;5915FBD7EFB34533;Out;-42,00;EUR;02-03-2015;BE01 2345 6789 6677;ALFRED LIN;;Travel expense
